"practice_code","practice_name","icb_code","icb_name","region","list_size","survey_responses","imd_quintile","rural_urban","phone_difficult_n"
"AUF4663","Practice 33","Q43","NHS Dorset ICB","North West",8596,244,3,"Urban",74
"JID8583","Practice 34","Q68","NHS Dorset ICB","Midlands",1886,282,4,"Rural",91
"XYY2014","Practice 35","Q20","NHS Somerset ICB","Midlands",8097,152,2,"Rural",42
"KEH3522","Practice 36","Q68","NHS Devon ICB","North West",12011,187,2,"Urban",78
"OGZ7710","Practice 37","Q35","NHS Dorset ICB","North East",15537,126,4,"Rural",72
"VAC1950","Practice 38","Q43","NHS Somerset ICB","South West",12222,30,5,"Urban",9
"ZHA6016","Practice 39","Q97","NHS Cornwall ICB","South West",9065,254,3,"Rural",
"HTT5326","Practice 40","Q35","NHS Devon ICB","South East",12111,183,5,"Urban",55
"DUQ3380","Practice 41","Q66","NHS Devon ICB","North West",3893,242,4,"Urban",
"DJW7715","Practice 42","Q20","NHS Devon ICB","Midlands",9162,141,4,"Urban",53
"VTU7057","Practice 43","Q62","NHS Devon ICB","North East",5418,30,5,"Urban",5
"RYB6065","Practice 44","Q43","NHS Cornwall ICB","Midlands",3074,311,5,"Rural",
"MBT6940","Practice 45","Q69","NHS Somerset ICB","South West",9804,223,1,"Urban",110
"EYA7164","Practice 46","Q36","NHS Dorset ICB","Midlands",13857,184,4,"Urban",72
"DDW3109","Practice 47","Q69","NHS Somerset ICB","London",500,173,1,"Urban",66
"BSE6209","Practice 48","Q31","NHS Cornwall ICB","London",9278,283,4,"Rural",88
"XFD1025","Practice 49","Q66","NHS Somerset ICB","Midlands",10763,297,4,"Urban",105
"RPD9265","Practice 50","Q89","NHS Somerset ICB","South West",10550,389,2,"Rural",109
"CWD1035","Practice 51","Q62","NHS Dorset ICB","London",4180,163,4,"Urban",38
"XFC5980","Practice 52","Q69","NHS Devon ICB","London",5944,218,5,"Urban",86
"WLS5293","Practice 53","Q68","NHS Dorset ICB","East",3089,170,2,"Urban",80
"QQB5545","Practice 54","Q92","NHS Dorset ICB","North West",8345,247,5,"Urban",76
"UVM7577","Practice 55","Q77","NHS Devon ICB","North East",7342,60,1,"Rural",24
"ZRH4125","Practice 56","Q69","NHS Somerset ICB","East",5505,254,3,"Rural",117
"RNT4204","Practice 57","Q56","NHS Somerset ICB","South East",5113,214,3,"Urban",52
"FEI4263","Practice 58","Q43","NHS Devon ICB","North East",12193,231,4,"Rural",42
"FDT8498","Practice 59","Q43","NHS Devon ICB","North West",7465,168,2,"Urban",84
"BMU3616","Practice 60","Q56","NHS Cornwall ICB","North East",9628,207,1,"Urban",108
"TSK5366","Practice 61","Q50","NHS Somerset ICB","East",11054,43,3,"Urban",13
"CYR4554","Practice 62","Q31","NHS Somerset ICB","North East",12514,280,4,"Rural",84
"VTO2600","Practice 63","Q69","NHS Devon ICB","South West",8927,131,4,"Urban",63
"UDA1682","Practice 64","Q50","NHS Devon ICB","London",6605,187,4,"Rural",87
"BPO2711","Practice 65","Q97","NHS Cornwall ICB","North East",12448,146,3,"Urban",36
"WJW3362","Practice 66","Q68","NHS Dorset ICB","North East",8974,351,5,"Rural",111
"FUG6748","Practice 67","Q83","NHS Devon ICB","South West",3570,107,2,"Urban",48
"ZMY3756","Practice 68","Q83","NHS Cornwall ICB","North East",9838,347,4,"Urban",79
"JLT6170","Practice 69","Q92","NHS Devon ICB","South West",12470,281,1,"Urban",119
"HER9599","Practice 70","Q66","NHS Dorset ICB","North East",7636,181,5,"Urban",34
"ECN9592","Practice 71","Q77","NHS Dorset ICB","North East",16231,172,1,"Rural",66
"ANA6233","Practice 72","Q97","NHS Somerset ICB","South West",10286,224,2,"Rural",111
"QXK7653","Practice 73","Q43","NHS Devon ICB","East",8286,220,2,"Urban",81
"GAJ1744","Practice 74","Q29","NHS Devon ICB","Midlands",8536,266,4,"Urban",100
"DPH6527","Practice 75","Q69","NHS Somerset ICB","London",9919,204,5,"Urban",68
"MOJ8862","Practice 76","Q77","NHS Somerset ICB","North West",5859,315,4,"Urban",127
"JWJ2284","Practice 77","Q94","NHS Devon ICB","London",4534,220,3,"Urban",85
"IGH5603","Practice 78","Q92","NHS Cornwall ICB","North East",2459,139,2,"Rural",35
"LLU3971","Practice 79","Q50","NHS Dorset ICB","South East",7277,30,5,"Urban",7
"TWV3818","Practice 80","Q90","NHS Dorset ICB","South West",4754,54,3,"Rural",10
"IBH3819","Practice 81","Q36","NHS Somerset ICB","North West",6859,138,5,"Urban",44
"KXA5279","Practice 82","Q83","NHS Devon ICB","South West",5421,280,3,"Urban",61
"CLZ6069","Practice 83","Q77","NHS Dorset ICB","South West",1503,291,4,"Rural",117
"PDO4325","Practice 84","Q62","NHS Somerset ICB","Midlands",5562,231,3,"Rural",117
"EZG5763","Practice 85","Q36","NHS Dorset ICB","South East",6337,323,4,"Urban",143
"XRX1113","Practice 86","Q90","NHS Dorset ICB","London",12342,261,4,"Rural",112
"NTL2775","Practice 87","Q43","NHS Dorset ICB","South East",978,318,2,"Urban",131
"ECF1537","Practice 88","Q36","NHS Dorset ICB","South West",7491,175,2,"Urban",58
"VCK8678","Practice 89","Q83","NHS Somerset ICB","London",9462,118,3,"Rural",27
"BZR7118","Practice 90","Q97","NHS Somerset ICB","London",5672,120,1,"Rural",49
"RHZ2753","Practice 91","Q35","NHS Somerset ICB","East",16366,152,4,"Urban",64
"XUZ6951","Practice 92","Q29","NHS Cornwall ICB","Midlands",10115,92,3,"Urban",22
"QHI4456","Practice 93","Q92","NHS Somerset ICB","London",6072,149,5,"Urban",43
"RYT4915","Practice 94","Q83","NHS Dorset ICB","North East",6966,30,2,"Urban",17
"ESZ6163","Practice 95","Q22","NHS Somerset ICB","Midlands",2963,281,2,"Urban",122
"NPP4745","Practice 96","Q35","NHS Somerset ICB","South West",10002,288,2,"Urban",93
"HFB3081","Practice 97","Q31","NHS Devon ICB","East",10302,309,5,"Urban",79
"WEH8787","Practice 98","Q92","NHS Cornwall ICB","Midlands",1454,221,4,"Urban",97
"HGH5007","Practice 99","Q35","NHS Devon ICB","London",10246,208,4,"Urban",60
"UAH2240","Practice 100","Q92","NHS Devon ICB","Midlands",16285,338,2,"Urban",176
"DYO5788","Practice 101","Q36","NHS Dorset ICB","Midlands",500,112,4,"Urban",31
"YYF4085","Practice 102","Q29","NHS Dorset ICB","North West",13166,291,3,"Rural",113
"DOB8327","Practice 103","Q31","NHS Somerset ICB","South West",7903,97,4,"Rural",30
"GSD4372","Practice 104","Q77","NHS Cornwall ICB","South East",5444,295,5,"Urban",131
"JND5193","Practice 105","Q92","NHS Cornwall ICB","London",9963,324,5,"Rural",62
"RAF4214","Practice 106","Q97","NHS Devon ICB","Midlands",4061,227,5,"Urban",53
"MXX4208","Practice 107","Q43","NHS Devon ICB","East",7194,345,4,"Urban",107
"UVJ7449","Practice 108","Q68","NHS Cornwall ICB","London",8234,253,5,"Urban",58
"VWA6128","Practice 109","Q77","NHS Cornwall ICB","Midlands",5899,149,4,"Urban",51
"SDG4222","Practice 110","Q66","NHS Cornwall ICB","Midlands",10495,215,4,"Urban",72
"PPS4504","Practice 111","Q62","NHS Dorset ICB","North East",10072,65,3,"Rural",25
"VWJ4127","Practice 112","Q77","NHS Devon ICB","North West",6753,112,4,"Urban",35
"QSO4867","Practice 113","Q29","NHS Somerset ICB","Midlands",14409,172,4,"Rural",65
"LMA4552","Practice 114","Q69","NHS Cornwall ICB","East",9438,44,2,"Rural",19
"IUA5883","Practice 115","Q29","NHS Dorset ICB","North West",9153,331,3,"Urban",155
"YXN6501","Practice 116","Q22","NHS Cornwall ICB","London",12017,380,4,"Rural",158
"UQW7959","Practice 117","Q56","NHS Somerset ICB","East",8083,30,4,"Urban",9
"KKQ9311","Practice 118","Q36","NHS Devon ICB","South East",9252,399,3,"Rural",131
"YTM1949","Practice 119","Q69","NHS Somerset ICB","East",7592,270,1,"Rural",94
"ZZN4026","Practice 120","Q36","NHS Dorset ICB","North West",2214,30,3,"Rural",11
"PXS6076","Practice 121","Q83","NHS Somerset ICB","South East",6929,214,5,"Rural",30
"HJB6473","Practice 122","Q68","NHS Dorset ICB","South West",1266,299,1,"Urban",102
"WCN1361","Practice 123","Q62","NHS Dorset ICB","Midlands",6813,81,5,"Urban",27
"FMT3243","Practice 124","Q62","NHS Dorset ICB","London",9939,281,4,"Urban",86
"AED5660","Practice 125","Q83","NHS Dorset ICB","Midlands",7975,101,1,"Urban",52
"MBY7912","Practice 126","Q43","NHS Devon ICB","South East",8198,228,3,"Rural",69
"NKH7596","Practice 127","Q62","NHS Somerset ICB","London",6862,132,4,"Urban",41
"ECO2940","Practice 128","Q89","NHS Somerset ICB","East",5009,248,5,"Rural",
"ITY8629","Practice 129","Q83","NHS Somerset ICB","South East",10460,138,3,"Rural",43
"WOS9878","Practice 130","Q68","NHS Somerset ICB","North West",6431,247,2,"Rural",88
"PEA1653","Practice 131","Q90","NHS Dorset ICB","London",19069,141,4,"Rural",65
"ZKB3776","Practice 132","Q36","NHS Devon ICB","South West",8747,279,5,"Urban",71
"KDN9380","Practice 133","Q94","NHS Dorset ICB","North East",12659,255,5,"Urban",76
"JLS6947","Practice 134","Q43","NHS Cornwall ICB","South West",7523,293,4,"Urban",106
"JVJ9049","Practice 135","Q50","NHS Devon ICB","North East",7256,91,4,"Rural",38
"XRQ2916","Practice 136","Q68","NHS Cornwall ICB","East",500,187,2,"Rural",40
"AJW9825","Practice 137","Q62","NHS Cornwall ICB","East",5146,322,2,"Urban",148
"YBV2959","Practice 138","Q92","NHS Devon ICB","Midlands",8751,169,3,"Rural",64
"YQI3171","Practice 139","Q89","NHS Dorset ICB","South East",4552,213,5,"Rural",46
"SSA7452","Practice 140","Q69","NHS Somerset ICB","Midlands",9422,241,2,"Urban",53
"QHF5528","Practice 141","Q66","NHS Dorset ICB","Midlands",2966,258,3,"Urban",94
"NQN2604","Practice 142","Q20","NHS Devon ICB","South West",11643,173,5,"Urban",41
"NVX2389","Practice 143","Q89","NHS Dorset ICB","East",12027,209,4,"Urban",99
"OFR4118","Practice 144","Q83","NHS Devon ICB","South West",3519,203,4,"Rural",53
"FMC9361","Practice 145","Q22","NHS Devon ICB","East",7400,32,4,"Rural",9
"XUZ1360","Practice 146","Q83","NHS Cornwall ICB","South East",9017,218,3,"Urban",58
"OIA8733","Practice 147","Q92","NHS Somerset ICB","North East",11876,168,1,"Urban",73
"KJW3803","Practice 148","Q97","NHS Dorset ICB","North East",2366,237,1,"Rural",102
"EID4036","Practice 149","Q77","NHS Devon ICB","South West",5915,253,4,"Urban",68
"PKL5913","Practice 150","Q69","NHS Somerset ICB","London",2683,61,2,"Urban",28
"QGA1324","Practice 151","Q68","NHS Cornwall ICB","East",5680,253,2,"Urban",45
"VJZ2391","Practice 152","Q62","NHS Dorset ICB","London",14965,253,5,"Urban",103
"QUB7243","Practice 153","Q20","NHS Devon ICB","North West",10915,134,3,"Rural",46
"RAF8774","Practice 154","Q69","NHS Somerset ICB","North West",6609,190,1,"Urban",77
"BWF7171","Practice 155","Q77","NHS Dorset ICB","South East",17042,376,4,"Urban",175
"FAZ8358","Practice 156","Q43","NHS Cornwall ICB","South East",500,393,1,"Urban",164
"VGK1735","Practice 157","Q56","NHS Somerset ICB","South West",3480,62,2,"Urban",21
"FKQ2485","Practice 158","Q31","NHS Cornwall ICB","Midlands",7836,277,5,"Urban",88
"FTA9042","Practice 159","Q83","NHS Devon ICB","London",3408,221,1,"Urban",116
"TFX1053","Practice 160","Q89","NHS Somerset ICB","North West",2003,145,5,"Rural",59
"OJE4835","Practice 161","Q36","NHS Somerset ICB","North East",4569,127,1,"Urban",61
"BIR4030","Practice 162","Q56","NHS Cornwall ICB","North West",6864,113,4,"Urban",23
"JZR8525","Practice 163","Q43","NHS Devon ICB","East",5507,285,2,"Rural",101
"WIV8573","Practice 164","Q56","NHS Somerset ICB","East",10271,92,5,"Rural",28
"LQT3898","Practice 165","Q69","NHS Devon ICB","South East",11104,152,4,"Urban",52
"ZYP1087","Practice 166","Q36","NHS Devon ICB","South West",1216,236,3,"Urban",83
"IHM5038","Practice 167","Q22","NHS Devon ICB","London",9279,30,5,"Urban",12
"AGC6994","Practice 168","Q31","NHS Somerset ICB","North East",4779,120,3,"Rural",40
"BOX6300","Practice 169","Q68","NHS Devon ICB","London",5484,91,2,"Urban",
"XGE6235","Practice 170","Q77","NHS Somerset ICB","London",8987,256,1,"Urban",49
"XNI8004","Practice 171","Q92","NHS Cornwall ICB","South East",9745,66,2,"Rural",20
"BAC8946","Practice 172","Q77","NHS Dorset ICB","Midlands",12238,124,1,"Urban",
"YTB1154","Practice 173","Q20","NHS Dorset ICB","South East",9848,152,1,"Urban",31
"KRK1517","Practice 174","Q20","NHS Devon ICB","East",9400,468,3,"Rural",134
"NEQ1320","Practice 175","Q56","NHS Cornwall ICB","Midlands",593,239,1,"Rural",131
"BGT1161","Practice 176","Q31","NHS Somerset ICB","North East",5304,337,4,"Urban",86
"BBS1608","Practice 177","Q83","NHS Cornwall ICB","South East",3278,355,2,"Rural",133
"JNS7912","Practice 178","Q83","NHS Dorset ICB","London",9421,173,5,"Urban",62
"YFU5102","Practice 179","Q43","NHS Cornwall ICB","East",4686,134,2,"Urban",62
"VOH5189","Practice 180","Q89","NHS Devon ICB","East",12296,203,3,"Urban",65
"EGI5559","Practice 181","Q20","NHS Cornwall ICB","North West",3105,241,2,"Urban",101
"JGU6222","Practice 182","Q43","NHS Dorset ICB","South East",8238,84,2,"Urban",39
"QRF2598","Practice 183","Q50","NHS Dorset ICB","South East",13669,118,5,"Urban",45
"QLQ5101","Practice 184","Q22","NHS Cornwall ICB","South West",500,268,4,"Urban",115
"EUF2643","Practice 185","Q31","NHS Dorset ICB","East",8631,238,5,"Urban",79
"CHK6346","Practice 186","Q69","NHS Devon ICB","North West",9159,167,2,"Urban",61
"NKT8802","Practice 187","Q68","NHS Cornwall ICB","South East",8918,256,3,"Rural",112
"NIZ2643","Practice 188","Q22","NHS Somerset ICB","London",3047,176,3,"Urban",72
"ZAE6445","Practice 189","Q97","NHS Cornwall ICB","London",3783,140,2,"Rural",39
"AQG4524","Practice 190","Q20","NHS Devon ICB","North East",3333,49,1,"Urban",5
"EHG2996","Practice 191","Q50","NHS Dorset ICB","North East",6492,344,4,"Urban",155
"CJQ3528","Practice 192","Q92","NHS Cornwall ICB","Midlands",10573,200,1,"Urban",82
"VCJ7831","Practice 193","Q89","NHS Somerset ICB","South East",5041,51,2,"Urban",12
"ZHR4712","Practice 194","Q92","NHS Somerset ICB","East",12871,93,4,"Urban",42
"MNQ4954","Practice 195","Q43","NHS Cornwall ICB","South West",9040,362,2,"Urban",132
"KDZ1067","Practice 196","Q43","NHS Devon ICB","East",9392,435,4,"Urban",131
"TNA9833","Practice 197","Q68","NHS Devon ICB","East",8242,186,4,"Urban",43
"ZQY8616","Practice 198","Q36","NHS Devon ICB","North West",3908,167,5,"Urban",79
"QXS3116","Practice 199","Q92","NHS Cornwall ICB","East",4750,143,5,"Urban",47
"TUW8263","Practice 200","Q90","NHS Somerset ICB","Midlands",5504,51,2,"Urban",16
"DTM9189","Practice 201","Q69","NHS Cornwall ICB","North East",12184,178,3,"Urban",68
"TKZ3336","Practice 202","Q31","NHS Cornwall ICB","East",6025,238,5,"Urban",107
"KRS9803","Practice 203","Q36","NHS Somerset ICB","Midlands",9843,291,2,"Urban",
"QYY7849","Practice 204","Q20","NHS Devon ICB","South East",9826,275,2,"Rural",116
"IIR3731","Practice 205","Q83","NHS Cornwall ICB","North East",13344,281,2,"Rural",121
"QLM7218","Practice 206","Q31","NHS Cornwall ICB","London",8955,277,5,"Urban",83
"MFU7302","Practice 207","Q22","NHS Dorset ICB","South West",9175,223,4,"Urban",97
"QJY7555","Practice 208","Q89","NHS Dorset ICB","Midlands",5560,162,4,"Urban",42
"TNL6248","Practice 209","Q20","NHS Dorset ICB","London",2410,202,1,"Urban",81
"ATN3396","Practice 210","Q56","NHS Devon ICB","South West",10155,263,2,"Urban",79
"QLP8905","Practice 211","Q29","NHS Devon ICB","North East",500,108,3,"Rural",
"ADU7057","Practice 212","Q94","NHS Cornwall ICB","North East",3657,152,5,"Urban",69
"BDM1166","Practice 213","Q36","NHS Dorset ICB","East",5339,215,2,"Urban",58
"HSP3159","Practice 214","Q69","NHS Somerset ICB","East",6787,173,2,"Urban",40
"PMS6371","Practice 215","Q20","NHS Devon ICB","South West",7883,443,5,"Rural",139
"CFI3322","Practice 216","Q68","NHS Dorset ICB","London",8301,151,2,"Urban",41
"ETB7747","Practice 217","Q22","NHS Devon ICB","South West",5960,237,3,"Urban",99
"MKI9495","Practice 218","Q97","NHS Dorset ICB","South West",17910,228,2,"Urban",84
"LRX3231","Practice 219","Q62","NHS Cornwall ICB","South West",8069,30,2,"Rural",8
"AOW3455","Practice 220","Q69","NHS Cornwall ICB","East",9799,30,4,"Urban",6
"SRB9488","Practice 221","Q50","NHS Cornwall ICB","North East",14223,118,1,"Urban",51
"ENS8776","Practice 222","Q68","NHS Cornwall ICB","Midlands",6401,370,5,"Rural",
"OVC6265","Practice 223","Q89","NHS Devon ICB","East",14145,156,4,"Rural",47
"XKS9296","Practice 224","Q62","NHS Cornwall ICB","Midlands",4268,131,5,"Rural",34
"FXK3074","Practice 225","Q31","NHS Devon ICB","London",5427,30,5,"Urban",14
"WZC9117","Practice 226","Q66","NHS Somerset ICB","North West",8118,138,3,"Urban",48
"PDP1803","Practice 227","Q83","NHS Somerset ICB","North West",12467,393,4,"Urban",94
"JME6672","Practice 228","Q22","NHS Devon ICB","London",4026,238,5,"Urban",103
"GHQ9435","Practice 229","Q92","NHS Cornwall ICB","South East",18854,202,4,"Rural",57
"IBR9413","Practice 230","Q36","NHS Devon ICB","London",8184,269,2,"Rural",101
"IMB1950","Practice 231","Q83","NHS Devon ICB","London",6287,51,1,"Urban",
"YJE2334","Practice 232","Q89","NHS Devon ICB","Midlands",7118,263,3,"Urban",74
"CWS5003","Practice 233","Q77","NHS Dorset ICB","East",13159,213,3,"Urban",56
"RYM9472","Practice 234","Q83","NHS Cornwall ICB","London",8202,230,1,"Urban",66
"UEX1286","Practice 235","Q92","NHS Dorset ICB","South West",7336,289,4,"Urban",117
"OJV5323","Practice 236","Q43","NHS Devon ICB","North West",4835,139,3,"Urban",59
"OLB8242","Practice 237","Q56","NHS Devon ICB","East",500,222,2,"Urban",
"YPJ9603","Practice 238","Q92","NHS Dorset ICB","East",13918,221,3,"Urban",43
"TMA7157","Practice 239","Q68","NHS Somerset ICB","London",9513,188,2,"Urban",75
"YPO2424","Practice 240","Q66","NHS Cornwall ICB","Midlands",10852,132,4,"Urban",
"PCN5256","Practice 241","Q22","NHS Devon ICB","South West",4127,142,4,"Urban",68
"VMQ7715","Practice 242","Q89","NHS Cornwall ICB","South West",9991,333,4,"Urban",94
"XMX1008","Practice 243","Q83","NHS Dorset ICB","London",6907,340,3,"Urban",
"AQX4978","Practice 244","Q69","NHS Dorset ICB","South West",7443,202,4,"Urban",92
"FZO1789","Practice 245","Q50","NHS Dorset ICB","East",11746,126,5,"Urban",42
"KTA8652","Practice 246","Q66","NHS Dorset ICB","London",4149,46,4,"Urban",17
"ICZ3575","Practice 247","Q35","NHS Dorset ICB","London",8899,432,4,"Rural",194
"VHP2559","Practice 248","Q36","NHS Somerset ICB","South East",3837,229,4,"Urban",75
"ZMA8125","Practice 249","Q77","NHS Cornwall ICB","London",8176,242,3,"Urban",54
"VLE9005","Practice 250","Q36","NHS Somerset ICB","Midlands",2604,128,5,"Urban",63
"VVT2858","Practice 251","Q83","NHS Somerset ICB","Midlands",12673,169,2,"Urban",48
"TDP5501","Practice 252","Q90","NHS Dorset ICB","Midlands",9374,483,5,"Rural",177
"WJK7526","Practice 253","Q20","NHS Cornwall ICB","South East",4419,231,5,"Urban",70
"VJS7603","Practice 254","Q29","NHS Somerset ICB","North West",9802,113,1,"Urban",50
"ZAA9610","Practice 255","Q77","NHS Somerset ICB","North West",7996,81,2,"Urban",
"MTY7549","Practice 256","Q90","NHS Somerset ICB","London",6956,30,3,"Urban",14
"EFR9558","Practice 257","Q56","NHS Cornwall ICB","South East",11506,405,2,"Urban",128
"KZV1069","Practice 258","Q94","NHS Dorset ICB","North West",500,116,3,"Urban",23
"OSA2788","Practice 259","Q35","NHS Devon ICB","South West",8775,192,5,"Rural",54
"ULW9746","Practice 260","Q90","NHS Dorset ICB","East",7741,169,2,"Urban",46
"BYF5422","Practice 261","Q56","NHS Dorset ICB","South East",8947,247,1,"Rural",109
"YOW3391","Practice 262","Q94","NHS Cornwall ICB","South East",7642,195,3,"Rural",80
"FRY7255","Practice 263","Q56","NHS Devon ICB","North East",500,170,1,"Urban",64
"AVN7091","Practice 264","Q92","NHS Devon ICB","London",9710,337,1,"Urban",132
"NJP7636","Practice 265","Q20","NHS Devon ICB","London",2058,262,5,"Urban",50
"PGV3138","Practice 266","Q36","NHS Cornwall ICB","East",16381,233,3,"Rural",
"QNR5418","Practice 267","Q62","NHS Cornwall ICB","London",8592,200,4,"Urban",78
"KJD9617","Practice 268","Q31","NHS Dorset ICB","East",7576,351,3,"Rural",100
"RVM6522","Practice 269","Q50","NHS Devon ICB","North East",3689,30,1,"Urban",6
"WTJ7732","Practice 270","Q69","NHS Dorset ICB","South West",13620,137,3,"Urban",41
"BKQ2423","Practice 271","Q90","NHS Cornwall ICB","London",6898,208,5,"Rural",
"ZOM2472","Practice 272","Q35","NHS Cornwall ICB","South West",2774,354,1,"Urban",159
"JJN2723","Practice 273","Q69","NHS Dorset ICB","North East",10301,101,4,"Urban",41
"DOE7271","Practice 274","Q35","NHS Devon ICB","South East",12475,88,4,"Urban",20
"TFM6141","Practice 275","Q94","NHS Dorset ICB","East",1799,142,1,"Rural",46
"ORG5210","Practice 276","Q68","NHS Cornwall ICB","South East",3108,246,1,"Urban",59
"GUC4434","Practice 277","Q68","NHS Devon ICB","North East",2145,103,3,"Rural",27
"QUV3386","Practice 278","Q97","NHS Dorset ICB","Midlands",8108,30,1,"Urban",16
"EDG2193","Practice 279","Q20","NHS Devon ICB","North East",823,187,2,"Urban",74
"VDO4056","Practice 280","Q83","NHS Dorset ICB","South West",10198,185,4,"Urban",64
"TJK9061","Practice 281","Q22","NHS Somerset ICB","North East",14619,215,3,"Urban",69
"ROO6166","Practice 282","Q20","NHS Cornwall ICB","North West",3396,275,2,"Rural",96
"ZKV6086","Practice 283","Q22","NHS Somerset ICB","London",6417,99,5,"Urban",29
"IUO8182","Practice 284","Q77","NHS Dorset ICB","South East",7821,162,2,"Urban",59
"KTP2499","Practice 285","Q35","NHS Devon ICB","South East",8408,221,5,"Rural",66
"FMZ8724","Practice 286","Q94","NHS Devon ICB","North East",10908,193,5,"Urban",68
"JHI8093","Practice 287","Q43","NHS Devon ICB","Midlands",5420,182,5,"Urban",49
"IQM4730","Practice 288","Q90","NHS Dorset ICB","London",8972,84,2,"Rural",22
"WDL9883","Practice 289","Q77","NHS Somerset ICB","East",9931,164,4,"Urban",67
"ZLX1793","Practice 290","Q89","NHS Somerset ICB","South West",8663,308,1,"Rural",128
"SHF2802","Practice 291","Q90","NHS Cornwall ICB","North East",11745,372,2,"Rural",146
"IGB1109","Practice 292","Q68","NHS Cornwall ICB","London",9495,320,5,"Rural",129
"KZS7178","Practice 293","Q56","NHS Somerset ICB","Midlands",15912,200,3,"Rural",84
"SOS2375","Practice 294","Q83","NHS Devon ICB","North West",8816,175,2,"Urban",40
"UIM1659","Practice 295","Q97","NHS Devon ICB","North East",4003,89,5,"Urban",32
"DME8186","Practice 296","Q50","NHS Cornwall ICB","North East",6662,399,5,"Urban",99
"JIX5949","Practice 297","Q89","NHS Dorset ICB","North West",14887,153,5,"Rural",55
"VTR7427","Practice 298","Q56","NHS Somerset ICB","East",3844,214,3,"Rural",73
"YPJ6476","Practice 299","Q35","NHS Cornwall ICB","South West",6374,102,4,"Rural",37
"VXJ1165","Practice 300","Q94","NHS Dorset ICB","Midlands",9068,430,3,"Urban",194
"QXJ5627","Practice 301","Q22","NHS Cornwall ICB","London",2913,340,5,"Urban",73
"UEG6716","Practice 302","Q56","NHS Somerset ICB","South West",8556,257,4,"Rural",97
"LAF3349","Practice 303","Q90","NHS Devon ICB","Midlands",10002,49,3,"Urban",7
"UFX1671","Practice 304","Q68","NHS Dorset ICB","South West",11337,265,5,"Urban",74
"FVY2234","Practice 305","Q77","NHS Cornwall ICB","East",2895,308,4,"Urban",
"OVF5824","Practice 306","Q20","NHS Dorset ICB","North West",10165,30,5,"Rural",10
"IDR7760","Practice 307","Q90","NHS Devon ICB","Midlands",17119,174,1,"Urban",65
"JXO8883","Practice 308","Q68","NHS Dorset ICB","South East",6472,177,3,"Urban",39
